title,link
Google turns your Android phone into a security key,http://feedproxy.google.com/~r/techcrunch/android/~3/cbQLE3FeJZc/
A powerful spyware app now targets iPhone owners,http://feedproxy.google.com/~r/techcrunch/android/~3/Q6EgsJEFWP8/
The Google Assistant on Android gets more visual responses,http://feedproxy.google.com/~r/techcrunch/android/~3/1sToUGe0Rec/
Fleksy’s AI keyboard is getting a store to put mini apps at chatters’ fingertips,http://feedproxy.google.com/~r/techcrunch/android/~3/RsmaZ-nv2ws/
India’s Mswipe raises $30M to grow its smart point-of-sale terminal business,http://feedproxy.google.com/~r/techcrunch/android/~3/gsfDldsKGWw/
"Gmail turns 15, gets Smart Compose improvements and email scheduling",http://feedproxy.google.com/~r/techcrunch/android/~3/90gdsqC8Hqw/
"Mozilla’s free password manager, Firefox Lockbox, launches on Android",http://feedproxy.google.com/~r/techcrunch/android/~3/OcLF0vuyT6I/
"Android users’ security and privacy at risk from shadowy ecosystem of pre-installed software, study warns",http://feedproxy.google.com/~r/techcrunch/android/~3/tV5zSikL19A/
Review: Apple’s new iPad mini continues to be mini,http://feedproxy.google.com/~r/techcrunch/android/~3/VqesD5hFDFY/
Razer hooks up with Tencent to focus on mobile gaming,http://feedproxy.google.com/~r/techcrunch/android/~3/cQj5rHphCFw/
Law enforcement needs to protect citizens and their data,http://feedproxy.google.com/~r/techcrunch/android/~3/ZZDJmDAUQv8/
"Ahead of third antitrust ruling, Google announces fresh tweaks to Android in Europe",http://feedproxy.google.com/~r/techcrunch/android/~3/C0hCHT3dS2M/
Opera’s VPN returns to its Android browser,http://feedproxy.google.com/~r/techcrunch/android/~3/BX3z3P2nETY/
Huawei has built an Android alternative in case US tensions increase,http://feedproxy.google.com/~r/techcrunch/android/~3/eJei6ktkmjA/
New Android adware found in 200 apps on Google Play,http://feedproxy.google.com/~r/techcrunch/android/~3/zdIB8E-z5FM/
Google gives Android developers new tools to make money from users who won’t pay,http://feedproxy.google.com/~r/techcrunch/android/~3/nGnqek3Msg0/
Google introduces educational app Bolo to improve children’s literacy in India,http://feedproxy.google.com/~r/techcrunch/android/~3/ibpiYyTVNNs/
"Polestar CEO speaks, Tesla terminology, and a tribute",http://feedproxy.google.com/~r/techcrunch/android/~3/tWoTz0ofU-o/
5G phones are here but don’t rush to upgrade,http://feedproxy.google.com/~r/techcrunch/android/~3/fvhWJRWfeUE/
Polestar unveils its all-electric response to the Tesla Model 3,http://feedproxy.google.com/~r/techcrunch/android/~3/y4Mf265aVK4/
